# STABLE DIAGNOSTIC CODE REGISTRY — GI-12. TAB-separated, appended to, never rewritten.
#
# WHAT A ROW IS. `code` names a SEMANTIC REJECTION CONDITION: the language rule
# this compiler enforces. Not a variant, not a construction site, not the
# sentence it currently prints. That is what makes a `code=PD####` pin survive a
# rewording and a refactor, which is the entire purchase of this file.
#
# THE COLUMNS, AND WHY IDENTITY AND EVIDENCE ARE SEPARATED (spec R12).
#   code               PD then exactly four digits. Allocated monotonically and
#                      MEANINGLESS — no family bands, because a band invites
#                      renumbering and renumbering is the one thing a stable code
#                      may not do. Nothing may read arithmetic into it.
#   symbolic_name      snake_case, unique. A convenience for humans and grep.
#                      The NUMBER is the identity; this is not.
#   status             active | tombstone. A tombstone is a code that was RETIRED
#                      (its condition turned out to be another code's rule seen
#                      from a second position, or the rule was implemented). A
#                      tombstoned row is never deleted and never re-pointed, and
#                      no manifest row may pin one.
#   semantic_condition THE STABLE IDENTITY. The rule sentence. Changing it is
#                      re-pointing the code, which D7 forbids; if the rule
#                      really changed, MINT A NEW CODE and tombstone this one.
#   justification      MUTABLE EVIDENCE: where the rule is enforced, why the
#                      witnesses share one code, what a merge absorbed. file:line
#                      drifts and prose is refined; identity may not, so the two
#                      do not share a column.
#   first_witness      A REFUSAL-witness corpus row (class `reject`, or one of the
#                      two `skip` rows whose refusal is their non-program proof).
#                      `-` for a tombstone: its witnesses belong to the survivor.
#   introduced_commit  The commit that first emitted this code, or `-` while the
#                      row is still in a working tree. The gate accepts `-` or a
#                      commit that is an ANCESTOR OF HEAD, and nothing else —
#                      mere object existence was the earlier predicate and it
#                      accepted every commit of every abandoned branch.
#
# WHY THE TOMBSTONES ARE GUARDED BY TWO FILES AND NOT BY THREE. A review asked
# for a defence against a commit that revives a retired number by editing THIS
# file and `src/errors/codes.rs` together. Declined, deliberately, on this
# repository's own settled precedent: `scripts/thesis-exit.sh:14-21` carries a
# duplicated contract and says of it that "weakening both together is possible
# and is meant to be: it takes an edit to two files in one commit, which is
# exactly the thing a reviewer can see." A reviewed cross-check is a pair of
# independent derivations, not a lock; adding a third copy multiplies the places
# that must agree without adding an authority that is harder to edit. The two
# derivations here are this file and the binary's own `DiagnosticCode::TOMBSTONES`
# (`pdc --dump-diagnostic-codes`), compared by `make check-diagnostic-codes`.
#
# SCOPE TODAY. su1 seeded the two conditions it wired end to end, plus the six
# tombstones the su0 map review retired; su2a appends the ten PARSER-FAMILY
# conditions whose construction sites it wires (the macro token stream, top-level
# initialiser form, `macro_rules!`, return-on-every-path, single-pass expansion,
# macro parameter substitution, and the two lexical refusals). su2b appends the
# fourteen conditions that render as `Expected ..., but found ...`: the grammar
# positions where the parser refuses a token. Their sites were not greppable —
# six of the fourteen have their sentence split across Rust line continuations or
# assembled by `consume()` from a message SHARED with a hundred other callers —
# so each was named by a throwaway marker build (a unique marker per message
# literal, one release build, every witness compiled, markers read, all markers
# reverted before a code was attached; method and readings in the unit's
# scratchpad, `su2b-attribution.tsv`). su3 appends the TYPE-CHECKER family: the
# thirty-eight conditions raised under `src/typeck/`, at fifty-two construction
# sites, so several of these rows are one rule stated in two, three or four
# positions. Two dispositions in this block are worth reading before the rows:
# PD0021 absorbed a second map number that named the same single `Err`, which is
# tombstoned below as PD0064 — allocation in the map, not first emission, is
# what obliges a tombstone, which is why the su0 six are here too — and
# PD0022/PD0046 record the `tests/xfail/alias_*` programs their sites also
# refuse — an over-attribution found by sweeping every `.pd` in the tree against
# the shipping binary, not by reading. The remaining conditions of the locked
# 72-condition map are appended by the later emission slices as their sites are
# wired — a registry row whose code nothing can emit would be a promise, not a
# record.
code	symbolic_name	status	semantic_condition	justification	first_witness	introduced_commit
PD0002	const_initialiser_has_no_value	active	the initialiser of a top-level `const`/`static` has no value in the target's arithmetic	one `refuse` closure in `TypeChecker::const_eval` (src/typeck/mod.rs); the fault named after the colon — a zero divisor, an i64 overflow, a shift outside 0..63 — is the PARAMETER of one rule, so the six corpus witnesses share one code and are told apart by `msg~` on the payload. The doc comment above the closure states the closed set: 'the refusals are exactly these three'.	tests/reject/const_divide_by_zero.pd	2d945d9
PD0003	cast_relation	active	a cast is legal only among the numeric primitives and `bool`, or between `char` and `i64`	one predicate over the PAIR — the `legal` match in `check_expr`'s `Expr::Cast` arm (src/typeck/mod.rs), whose middle arm is a symmetric or-pattern, so no branch is reached by direction. Direction lives in the formatted `found` clause, which is a particular; the four corpus witnesses are told apart by `msg~` on it.	tests/reject/bool_does_not_cast_to_char.pd	2d945d9
PD0025	nested_array_inner_length_field_spelling	tombstone	a nested array's inner length must resolve, `the field ...` caller spelling	RETIRED into PD0024 at su0 map review: one `Err` in `inner_dims_for_declarator`, and `what` is passed by the caller (field vs parameter). The caller's noun is the argument, not the rule.	-	-
PD0047	argument_type_const_generic_spelling	tombstone	an argument must have the parameter's declared type, const-generic callee spelling	RETIRED into PD0042 at su0 map review: both spellings reach the same `Err`; an arity probe showed the const-generic callee is not on a separate path. `Int` vs `[Int; N]` is the expected type, i.e. the particular.	-	-
PD0051	macro_rules_invocation_spelling	tombstone	`macro_rules!` is not this language's macro system, invocation-position spelling	RETIRED into PD0049 at su0 map review: N3-14 stated in two positions (item and invocation); after the lead the sentence is character-identical, and the source says the invocation position gets its own sentence 'as well as' the item position.	-	-
PD0061	receiver_write_through_detail_spelling	tombstone	a receiver that is not `&mut self` may not be written through, `&self` detail spelling	RETIRED into PD0060 at su0 map review: ONE `Err`, and `detail` is chosen by the `SelfReceiver` kind. The same 'one Err, reason varies' shape as the other merges.	-	-
PD0065	loop_break_value_agreement_break_side	tombstone	a loop and its `break`s must agree about whether there is a value, break-side spelling	RETIRED into PD0055 at su0 map review: the source names it as 'the mirror of `record_break_value`'s refusal ... both directions of the same rule'. A symmetric relation whose direction is a formatted particular, like PD0003.	-	-
PD0073	single_pass_expansion_argument_position	tombstone	single-pass expansion: an invocation may not be produced by an expansion, macro-argument position	RETIRED into PD0067 at su0 map review: the argument-side check is 'the sibling of the check register_macro performs over a macro BODY, and it is the same one-pass fact seen from the other side'; both messages carry the rule clause verbatim.	-	-
PD0008	non_integer_literal_in_macro_token_stream	active	a non-integer literal is not representable in the macro token stream	one `refuse` closure in `token_to_ast_token` (src/parser/mod.rs). `AstToken::Literal` is a `String` carrying no kind, so the kind that was written — a string, a float, a char, a boolean — is the PARAMETER of one rule, and the three corpus witnesses are told apart by `msg~` on the payload. The closure is SHARED with PD0074, so the code is passed to it per ARM: one formatter is not one rule.	tests/reject/macro_body_bool_literal.pd	-
PD0020	top_level_initialiser_must_be_constant	active	a top-level initialiser must be a constant expression	one `refuse` closure in `validate_global_initializer` (src/parser/mod.rs), and here one closure IS one rule: the `form` it names — a call, a name that reads another item, an array literal, an `if` — is the parameter, because whichever was written the item becomes a C file-scope definition and nothing runs before `main`. Two witnesses, told apart by `msg~`.	tests/reject/const_initializer_calls.pd	-
PD0049	macro_rules_is_not_this_macro_system	active	`macro_rules!` is not this language's macro system: there is ONE and no procedural/declarative split	N3-14, stated in TWO POSITIONS — item position in `parse_item` (src/parser/mod.rs) and invocation position in `unknown_macro` (src/macros/mod.rs). After the lead the sentence is character-identical and the source gives the invocation position its own sentence 'as well as' the item position, which is what retired PD0051 into this row.	tests/reject/macro_rules.pd	-
